Program,Role,District,QuestionId,MetricName,CorrectCount,TotalRespondents,AccuracyPct
CLSS,Participant,Raisen,96,96_Correct,333.0,546.0,60.99
CLSS,Participant,Rajgarh,96,96_Correct,413.0,651.0,63.44
CLSS,Participant,Ratlam,96,96_Correct,471.0,760.0,61.97
CLSS,Participant,Rewa,96,96_Correct,249.0,397.0,62.72
CLSS,Participant,Sagar,96,96_Correct,297.0,479.0,62.0
CLSS,Participant,Satna,96,96_Correct,353.0,559.0,63.15
CLSS,Participant,Sehore,96,96_Correct,2.0,3.0,66.67
CLSS,Participant,Seoni,96,96_Correct,403.0,687.0,58.66
CLSS,Participant,Shahdol,96,96_Correct,188.0,321.0,58.57
CLSS,Participant,Shajapur,96,96_Correct,260.0,385.0,67.53
CLSS,Participant,Sheopur,96,96_Correct,165.0,234.0,70.51
CLSS,Participant,Shivpuri,96,96_Correct,251.0,412.0,60.92
CLSS,Participant,Sidhi,96,96_Correct,343.0,517.0,66.34
CLSS,Participant,Singrauli,96,96_Correct,156.0,251.0,62.15
CLSS,Participant,Tikamgarh,96,96_Correct,176.0,266.0,66.17
CLSS,Participant,Ujjain,96,96_Correct,352.0,548.0,64.23
CLSS,Participant,Umaria,96,96_Correct,164.0,256.0,64.06
CLSS,Participant,Vidisha,96,96_Correct,407.0,612.0,66.5
CLSS,Participant,Agar Malwa,97,97_Correct,91.0,239.0,38.08
CLSS,Participant,Alirajpur,97,97_Correct,102.0,339.0,30.09
CLSS,Participant,Anuppur,97,97_Correct,89.0,278.0,32.01
CLSS,Participant,Ashoknagar,97,97_Correct,100.0,347.0,28.82
CLSS,Participant,Balaghat,97,97_Correct,244.0,802.0,30.42
CLSS,Participant,Barwani,97,97_Correct,152.0,565.0,26.9
CLSS,Participant,Betul,97,97_Correct,314.0,951.0,33.02
CLSS,Participant,Bhind,97,97_Correct,201.0,637.0,31.55
CLSS,Participant,Bhopal,97,97_Correct,133.0,321.0,41.43
CLSS,Participant,Burhanpur,97,97_Correct,48.0,147.0,32.65
CLSS,Participant,Chhatarpur,97,97_Correct,210.0,720.0,29.17
CLSS,Participant,Chhindwara,97,97_Correct,345.0,863.0,39.98
CLSS,Participant,Damoh,97,97_Correct,128.0,374.0,34.22
CLSS,Participant,Datia,97,97_Correct,111.0,338.0,32.84
CLSS,Participant,Dewas,97,97_Correct,0.0,1.0,0.0
